lat_aod,lon_aod,pred_pm25
36.05,65.55,129.72330182920408
36.05,65.65,129.72330182920408
36.05,66.15,130.26217166388693
36.05,66.25,130.26217166388693
36.05,68.75,129.8079400011791
36.05,68.85,129.8079400011791
36.05,69.35,129.3982178956212
36.05,69.45,129.3982178956212
36.05,69.95,127.63293427106925
36.05,70.05,127.63293427106925
36.05,70.55,129.0489633605065
36.05,70.65,129.0489633605065
36.05,71.15,131.78098765013772
36.05,71.25,131.78098765013772
36.05,73.75,130.67106074710097
36.05,73.85,130.67106074710097
36.05,74.35,129.08632656589688
36.05,74.45,129.08632656589688
36.05,74.95,129.25559542540543
36.05,75.05,129.25559542540543
36.05,75.55,129.93992650728669
36.05,75.65,129.93992650728669
36.05,76.15,126.4035752475338
36.05,76.25,126.4035752475338
36.05,78.75,129.71056840017894
36.05,78.85,129.71056840017894
36.05,79.35,128.81420327981598
36.05,79.44999999999999,128.81420327981598
36.05,80.05,126.84472285323079
36.05,80.55,127.93729715494868
36.05,80.65,127.93729715494868
36.05,81.15,126.84133782262151
36.05,81.25,126.84133782262151
36.05,81.94999999999999,127.82483119414617
36.05,83.75,126.42456440519754
36.05,83.85,126.42456440519754
36.05,84.35,127.00598245851296
36.05,84.45,127.00598245851296
36.05,84.95,126.62133427121972
36.05,85.05,126.62133427121972
36.05,85.55,126.96237864932145
36.05,85.65,126.96237864932145
36.05,86.15,128.9764034272026
36.05,86.25,128.9764034272026
36.05,88.75,126.80104848148301
36.05,88.85,126.80104848148301
36.05,89.35,126.94341422047184
36.05,89.45,126.94341422047184
36.05,89.95,125.91522506759071
36.05,90.05,125.91522506759071
36.05,90.55,126.63458761566764
36.05,90.65,126.63458761566764
36.05,91.15,126.85367903393684
36.05,91.25,126.85367903393684
36.05,93.75,127.07698410280001
36.05,93.85,127.07698410280001
36.05,94.35,127.9889451646242
36.05,94.45,127.9889451646242
36.05,94.95,126.81751872128636
36.05,95.05,126.81751872128636
36.05,95.55,127.37842449051713
36.05,95.65,127.37842449051713
36.05,96.15,127.37842449051713
36.05,96.25,127.37842449051713
36.05,98.75,127.72084520856924
36.05,98.85,127.72084520856924
35.05,65.55,129.1161407895418
35.05,65.65,129.1161407895418
35.05,66.15,129.37491800108023
35.05,66.25,129.37491800108023
35.05,68.75,129.51946949824872
35.05,68.85,129.51946949824872
35.05,69.35,130.1819075792213
35.05,69.45,130.1819075792213
35.05,69.95,129.3052510229248
35.05,70.05,129.3052510229248
35.05,70.55,129.8532726963119
35.05,70.65,129.8532726963119
35.05,71.15,130.0786097636196
35.05,71.25,134.103684278846
35.05,73.75,128.04269637921226
35.05,73.85,128.04269637921226
35.05,74.35,129.0393079143581
35.05,74.45,129.0393079143581
35.05,74.95,127.96815432758682
35.05,75.05,127.96815432758682
35.05,75.55,126.25758457706564
35.05,75.65,126.25758457706564
35.05,76.15,125.74762793451984
35.05,76.25,125.74762793451984
35.05,78.75,131.7751531955096
35.05,78.85,131.7751531955096
35.05,79.35,131.35373719878396
35.05,79.44999999999999,131.35373719878396
35.05,80.05,131.0943273629995
35.05,80.55,128.83919978576125
35.05,80.65,128.83919978576125
35.05,81.15,126.81605411673601
35.05,81.25,126.81605411673601
35.05,81.94999999999999,126.78756957346678
35.05,83.75,128.6473532525794
35.05,83.85,128.6473532525794
35.05,84.35,129.3786672106938
35.05,84.45,129.3786672106938
35.05,84.95,130.13413705732555
35.05,85.05,130.13413705732555
35.05,85.55,126.20774793494162
35.05,85.65,126.20774793494162
35.05,86.15,130.72466765730306
35.05,86.25,130.72466765730306
35.05,88.75,131.4682124247515
35.05,88.85,131.4682124247515
35.05,89.35,126.8809553320138
35.05,89.45,126.8809553320138
35.05,89.95,127.32051001951379
35.05,90.05,127.32051001951379
35.05,90.55,127.65621999013047
35.05,90.65,127.65621999013047
35.05,91.15,127.28211427432147
35.05,91.25,127.28211427432147
35.05,93.75,126.94503279403932
35.05,93.85,126.94503279403932
35.05,94.35,126.94503279403932
35.05,94.45,126.94503279403932
35.05,94.95,126.6268291882701
35.05,95.05,126.6268291882701
35.05,95.55,127.54920810653931
35.05,95.65,127.54920810653931
35.05,96.15,127.800531423847
35.05,96.25,127.800531423847
35.05,98.75,128.1921435601683
35.05,98.85,128.1921435601683
34.05,65.55,129.57414154093757
