lat_aod,lon_aod,pred_pm25
36.05,65.55,128.33905267849966
36.05,65.65,128.33905267849966
36.05,66.15,127.71198500413371
36.05,66.25,127.71198500413371
36.05,68.75,127.31621077416173
36.05,68.85,127.31621077416173
36.05,69.35,127.47583283855978
36.05,69.45,127.35622105868717
36.05,69.95,122.99760350606877
36.05,70.05,122.99760350606877
36.05,70.55,126.17015625000015
36.05,70.65,126.17015625000015
36.05,71.15,126.59655331297301
36.05,71.25,126.59655331297301
36.05,73.75,126.20469193449466
36.05,73.85,126.20469193449466
36.05,74.35,125.77987478365398
36.05,74.45,125.77987478365398
36.05,74.95,126.26015870314922
36.05,75.05,126.26015870314922
36.05,75.55,126.17015625000015
36.05,75.65,126.17015625000015
36.05,76.15,126.17015625000015
36.05,76.25,126.17015625000015
36.05,78.75,126.17015625000015
36.05,78.85,126.17015625000015
36.05,79.35,126.21967144230784
36.05,79.44999999999999,126.21967144230784
36.05,80.05,126.30758237980783
36.05,80.55,127.83517946248433
36.05,80.65,127.83517946248433
36.05,81.15,127.0340322566634
36.05,81.25,127.0340322566634
36.05,81.94999999999999,126.49452370192321
36.05,83.75,126.21471584134629
36.05,83.85,126.21471584134629
36.05,84.35,126.21471584134629
36.05,84.45,126.21471584134629
36.05,84.95,126.21471584134629
36.05,85.05,126.21471584134629
36.05,85.55,126.21471584134629
36.05,85.65,126.21471584134629
36.05,86.15,126.21471584134629
36.05,86.25,126.21471584134629
36.05,88.75,126.0637082870016
36.05,88.85,126.0637082870016
36.05,89.35,126.56627778846165
36.05,89.45,126.56627778846165
36.05,89.95,126.1466887740386
36.05,90.05,126.1466887740386
36.05,90.55,126.08224531250015
36.05,90.65,126.08224531250015
36.05,91.15,126.08224531250015
36.05,91.25,126.08224531250015
36.05,93.75,118.85843966346165
36.05,93.85,118.85843966346165
36.05,94.35,119.74671211104992
36.05,94.45,119.74671211104992
36.05,94.95,132.39634159585225
36.05,95.05,132.39634159585225
36.05,95.55,121.15568531451424
36.05,95.65,121.15568531451424
36.05,96.15,120.84469336350898
36.05,96.25,120.84469336350898
36.05,98.75,118.93825151110754
36.05,98.85,118.93825151110754
35.05,65.55,127.15513732595818
35.05,65.65,127.15513732595818
35.05,66.15,127.0625127586505
35.05,66.25,127.0625127586505
35.05,68.75,126.7310212019232
35.05,68.85,126.7310212019232
35.05,69.35,126.66214993979449
35.05,69.45,126.66214993979449
35.05,69.95,124.22561847576758
35.05,70.05,124.22561847576758
35.05,70.55,127.76495953831164
35.05,70.65,127.76495953831164
35.05,71.15,126.35456986907744
35.05,71.25,126.35456986907744
35.05,73.75,127.69554771014278
35.05,73.85,127.69554771014278
35.05,74.35,127.53504403955202
35.05,74.45,127.53504403955202
35.05,74.95,126.23973356606967
35.05,75.05,126.23973356606967
35.05,75.55,126.32555384305223
35.05,75.65,126.32555384305223
35.05,76.15,126.1639058495096
35.05,76.25,126.1639058495096
35.05,78.75,126.17015625000015
35.05,78.85,126.17015625000015
35.05,79.35,126.17015625000015
35.05,79.44999999999999,126.17015625000015
35.05,80.05,125.99433437500015
35.05,80.55,126.17015625000015
35.05,80.65,126.17015625000015
35.05,81.15,126.17015625000015
35.05,81.25,126.17015625000015
35.05,81.94999999999999,126.11568545673092
35.05,83.75,126.21471584134629
35.05,83.85,126.21471584134629
35.05,84.35,126.21471584134629
35.05,84.45,126.21471584134629
35.05,84.95,126.21471584134629
35.05,85.05,126.21471584134629
35.05,85.55,126.21471584134629
35.05,85.65,126.21471584134629
35.05,86.15,126.3026267788463
35.05,86.25,126.3026267788463
35.05,88.75,126.42151588315545
35.05,88.85,126.42151588315545
35.05,89.35,126.56389761392467
35.05,89.45,126.56389761392467
35.05,89.95,126.52788204326933
35.05,90.05,126.52788204326933
35.05,90.55,126.39045591346165
35.05,90.65,126.39045591346165
35.05,91.15,126.39045591346165
35.05,91.25,126.39045591346165
35.05,93.75,124.96293206730783
35.05,93.85,124.96293206730783
35.05,94.35,124.52337737980783
35.05,94.45,124.52337737980783
35.05,94.95,124.25959684150392
35.05,95.05,124.25959684150392
35.05,95.55,124.34114968750015
35.05,95.65,124.34114968750015
35.05,96.15,123.4496308173078
35.05,96.25,123.4496308173078
35.05,98.75,118.62500350629983
35.05,98.85,118.62500350629983
34.05,65.55,127.78281897392826
34.05,65.65,127.78281897392826
34.05,66.15,128.00315194401372
34.05,66.25,128.00315194401372
34.05,68.75,121.23098289197858
34.05,68.85,121.23098289197858
34.05,69.35,126.75640557382147
34.05,69.45,126.75640557382147
34.05,69.95,131.5518919623815
34.05,70.05,131.5518919623815
34.05,70.55,130.9085471264475
34.05,70.65,130.9085471264475
34.05,71.15,131.22237240792032
34.05,71.25,125.48009072461882
34.05,73.75,127.59482280337717
34.05,73.85,129.34748557289342
34.05,74.35,125.92261534279578
34.05,74.45,127.98094936461437
34.05,74.95,122.95374445873975
34.05,75.05,122.95374445873975
34.05,75.55,136.4233075907922
34.05,75.65,136.4233075907922
34.05,76.15,138.87437207785436
34.05,76.25,138.87437207785436
34.05,78.75,123.1165569711539
34.05,78.85,123.1165569711539
34.05,79.35,126.30758237980784
34.05,79.44999999999999,126.30758237980784
34.05,80.05,126.30758237980784
34.05,80.55,126.26918663461552
34.05,80.65,126.26918663461552
34.05,81.15,126.07728971153861
34.05,81.25,126.07728971153861
34.05,81.94999999999999,126.07728971153861
34.05,83.75,126.49452370192321
34.05,83.85,126.49452370192321
34.05,84.35,126.49452370192321
34.05,84.45,126.49452370192321
34.05,84.95,126.08969920673093
34.05,85.05,126.08969920673093
34.05,85.55,126.08969920673093
34.05,85.65,126.08969920673093
34.05,86.15,126.08969920673093
34.05,86.25,126.08969920673093
34.05,88.75,126.61884741511132
34.05,88.85,126.61884741511132
34.05,89.35,126.93301890254385
34.05,89.45,126.93301890254385
34.05,89.95,126.61771699745155
34.05,90.05,126.61771699745155
34.05,90.55,126.42263361113021
34.05,90.65,126.42263361113021
34.05,91.15,126.63665698597259
34.05,91.25,126.63665698597259
34.05,93.75,126.08981164919622
34.05,93.85,126.08981164919622
34.05,94.35,126.09002081125398
34.05,94.45,126.09002081125398
34.05,94.95,125.12679064593685
34.05,95.05,125.12679064593685
34.05,95.55,126.2828437962013
34.05,95.65,126.2828437962013
34.05,96.15,125.70968335592698
34.05,96.25,125.70968335592698
34.05,98.75,125.57875482862917
34.05,98.85,125.57875482862917
33.05,65.55,128.94057415634737
33.05,65.65,128.94057415634737
33.05,66.15,129.71314864266523
33.05,66.25,129.71314864266523
33.05,68.75,129.24597855661182
33.05,68.85,129.24597855661182
33.05,69.35,127.99168633049273
33.05,69.45,127.99168633049273
33.05,69.95,126.1740907431609
33.05,70.05,126.1740907431609
33.05,70.55,129.56551599987023
33.05,70.65,129.56551599987023
33.05,71.15,131.3372544051849
33.05,71.25,131.3372544051849
33.05,73.75,136.9493333323664
33.05,73.85,136.9493333323664
33.05,74.35,129.03301262832892
33.05,74.45,129.03301262832892
33.05,74.95,129.82024095522985
33.05,75.05,129.82024095522985
33.05,75.55,127.79925822583456
33.05,75.65,127.79925822583456
33.05,76.15,119.59504526110751
33.05,76.25,119.59504526110751
33.05,78.75,125.92225651442321
33.05,78.85,125.92225651442321
33.05,79.35,128.34287443470836
33.05,79.44999999999999,128.34287443470836
33.05,80.05,126.79846687189838
33.05,80.55,126.8598723393129
33.05,80.65,126.8598723393129
33.05,81.15,126.97900237670606
33.05,81.25,126.97900237670606
33.05,81.94999999999999,126.5629189233923
33.05,83.75,127.11856689283509
33.05,83.85,127.11856689283509
33.05,84.35,127.23733338942318
33.05,84.45,127.23733338942318
33.05,84.95,126.56111922781729
33.05,85.05,126.56111922781729
33.05,85.55,126.56111922781729
33.05,85.65,126.56111922781729
33.05,86.15,126.26084557360755
33.05,86.25,126.26084557360755
33.05,88.75,126.13768237980781
33.05,88.85,126.13768237980781
33.05,89.35,126.94629337680234
33.05,89.45,126.94629337680234
33.05,89.95,126.5192631954777
33.05,90.05,126.5192631954777
33.05,90.55,126.08623424985436
33.05,90.65,126.08623424985436
33.05,91.15,127.4819814948147
33.05,91.25,127.4819814948147
33.05,93.75,126.55468374069491
33.05,93.85,126.55468374069491
33.05,94.35,127.00580407413163
33.05,94.45,127.00580407413163
33.05,94.95,126.4580243718984
33.05,95.05,126.4580243718984
33.05,95.55,121.3538722377508
33.05,95.65,121.3538722377508
33.05,96.15,126.51479005335256
33.05,96.25,126.51479005335256
33.05,98.75,126.79841914609446
33.05,98.85,126.79841914609446
32.05,65.55,130.44423801585583
32.05,65.65,130.44423801585583
32.05,66.15,127.03839023714733
32.05,66.25,127.03839023714733
32.05,68.75,126.2541315823563
32.05,68.85,126.2541315823563
32.05,69.35,127.2500966819813
32.05,69.45,127.2500966819813
32.05,69.95,129.35100022467807
32.05,70.05,129.35100022467807
32.05,70.55,126.95738855114807
32.05,70.65,126.95738855114807
32.05,71.15,129.62792364673115
32.05,71.25,129.62792364673115
32.05,73.75,138.93282264709012
32.05,73.85,138.93282264709012
32.05,74.35,136.9767346646628
32.05,74.45,136.9767346646628
32.05,74.95,137.81875590618512
32.05,75.05,137.81875590618512
32.05,75.55,132.92898004011352
32.05,75.65,132.92898004011352
32.05,76.15,126.8588831702079
32.05,76.25,126.8588831702079
32.05,78.75,126.17015625000015
32.05,78.85,126.17015625000015
32.05,79.35,125.86307209134628
32.05,79.44999999999999,125.86307209134628
32.05,80.05,126.11141888087619
32.05,80.55,126.27535048076933
32.05,80.65,126.27535048076933
32.05,81.15,126.93024051643646
32.05,81.25,126.93024051643646
32.05,81.94999999999999,126.67624505955604
32.05,83.75,126.53980381621135
32.05,83.85,126.53980381621135
32.05,84.35,126.44458225371135
32.05,84.45,126.44458225371135
32.05,84.95,126.53980381621135
32.05,85.05,126.53980381621135
32.05,85.55,126.1104450932019
32.05,85.65,126.1104450932019
32.05,86.15,126.24787122300958
32.05,86.25,126.24787122300958
32.05,88.75,121.80657171468032
32.05,88.85,121.80657171468032
32.05,89.35,126.61232873074124
32.05,89.45,126.61232873074124
32.05,89.95,126.34049579031728
32.05,90.05,126.34049579031728
32.05,90.55,126.33578216050961
32.05,90.65,126.33578216050961
32.05,91.15,126.20609917648898
32.05,91.25,126.20609917648898
32.05,93.75,128.99781295186438
32.05,93.85,128.99781295186438
32.05,94.35,127.02916511004754
32.05,94.45,127.02916511004754
32.05,94.95,126.78497640896416
32.05,95.05,126.78497640896416
32.05,95.55,127.01904258359447
32.05,95.65,127.01904258359447
32.05,96.15,128.55090259537556
32.05,96.25,128.55090259537556
32.05,98.75,127.04554790209666
32.05,98.85,127.04554790209666
31.049999999999997,65.55,131.11081574718267
31.049999999999997,65.65,131.11081574718267
31.049999999999997,66.15,132.31356622272494
31.049999999999997,66.25,132.31356622272494
31.049999999999997,68.75,130.1394452688733
31.049999999999997,68.85,130.1394452688733
31.049999999999997,69.35,127.73620674782303
31.049999999999997,69.45,127.73620674782303
31.049999999999997,69.95,130.58271422341105
31.049999999999997,70.05,130.58271422341105
31.049999999999997,70.55,130.02029764885611
31.049999999999997,70.65,130.02029764885611
31.049999999999997,71.15,129.37395773778192
31.049999999999997,71.25,129.37395773778192
31.049999999999997,73.75,141.18896069761774
31.049999999999997,73.85,141.18896069761774
31.049999999999997,74.35,137.46074103613134
31.049999999999997,74.45,137.46074103613134
31.049999999999997,74.95,137.65806097576535
31.049999999999997,75.05,137.65806097576535
31.049999999999997,75.55,137.7798587231746
31.049999999999997,75.65,137.7798587231746
31.049999999999997,76.15,140.58768102020662
31.049999999999997,76.25,140.58768102020662
31.049999999999997,78.75,126.78889457362928
31.049999999999997,78.85,126.78889457362928
31.049999999999997,79.35,126.17015625000015
31.049999999999997,79.44999999999999,126.17015625000015
31.049999999999997,80.05,126.17015625000015
31.049999999999997,80.55,126.17015625000015
31.049999999999997,80.65,126.17015625000015
31.049999999999997,81.15,126.29409277200523
31.049999999999997,81.25,126.29409277200523
31.049999999999997,81.94999999999999,126.42369309800961
31.049999999999997,83.75,126.53980381621135
31.049999999999997,83.85,126.53980381621135
31.049999999999997,84.35,126.53980381621135
31.049999999999997,84.45,126.53980381621135
31.049999999999997,84.95,126.56111922781729
31.049999999999997,85.05,126.56111922781729
31.049999999999997,85.55,126.37889153550961
31.049999999999997,85.65,126.37889153550961
31.049999999999997,86.15,126.53980381621135
31.049999999999997,86.25,126.53980381621135
31.049999999999997,88.75,126.53720682101904
31.049999999999997,88.85,126.53720682101904
31.049999999999997,89.35,127.06766664624415
31.049999999999997,89.45,127.06766664624415
31.049999999999997,89.95,127.02500347006547
31.049999999999997,90.05,127.02500347006547
31.049999999999997,90.55,126.9574554106752
31.049999999999997,90.65,126.9574554106752
31.049999999999997,91.15,127.20675738532124
31.049999999999997,91.25,127.20675738532124
